species	datatype	citation
chinook	microsat	"Terry D. Beacham, Kim L. Jonsen, Janine Supernault, Michael Wetklo, Langtuo Deng, Natalia Varnavskaya (2006). Pacific Rim population structure of Chinook salmon as determined from microsatellite variation. Transactions of the American Fisheries Societey, 135: 1604-1621. https://doi.org/10.1577/T06-071.1"
chinook	SNP	" Terry D. Beacham, Colin Wallace, Cathy MacConnachie, Kim Jonsen, Brenda McIntosh, John R. Candy, and Ruth E. Withler (2017). Population and individual identification of Chinook salmon in British Columbia through parentage-based tagging and genetic stock identification with single nucleotide polymorphisms.  Canadian Journal of Fisheries and Aquatic Sciences, 75(7):1096-1105. https://doi.org/10.1139/cjfas-2017-0168"
chum	microsat	"Terry D. Beacham, John R. Candy, Colin Wallace, Shigehiko Urawa, Shunpei Sato, Natalia V. Varnavskaya, Khai D. Le, and Michael Wetklo (2009) Microsatellite Stock Identification of Chum Salmon on a Pacific Rim Basis, North American Journal of Fisheries Management, 29:6, 1757-1776, https://doi.org/10.1577/M08-188.1"
chum	SNP	Manuscript in preparation. 
coho	microsat	"Terry D. Beacham, John R. Candy, Colin Wallace, Michael Wetklo, Langtuo Deng and Cathy MacConnachie (2012). Microsatellite Mixed-Stock Identification of Coho Salmon in British Columbia. Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science, 4(1):85-100. https://doi.org/10.1080/19425120.2012.661393"
coho	SNP	"Terry D. Beacham, Colin Wallace, Kim Jonsen, Brenda McIntosh, John R. Candy, Eric B. Rondeau, Jean-Sebastien Moore, Louis Bernatchez, Ruth E. Withler (2020). Accurate estimation of conservation unit contribution to coho salmon mixed-stock fisheries in British Columbia, Canada, using direct DNA sequencing for single nucleotide polymorphisms.  Canadian Journal of Fisheries and Aquatic Sciences, https://doi.org/10.1139/cjfas-2019-0339."
eulachon	microsat	"Terry D. Beacham, Douglas E. Hay, Khai D. Le (2005).Population structure and stock identification of Eulachon (Thaleichthys pacificus), an anadromous smelt, in the pacific northwest.  Marine Biotechnology (NY). 7(4):363-372. https://doi.org/10.1007/s10126-004-4075-0"
eulachon	SNP	"Ben J. G. Sutherland, John R. Candy, Kayla Mohns, Olivia Cornies, Kim Jonsen, Khai Le, Richard G Gustafson, Krista M. Nichols, Terry D. Beacham (2020). Population structure of eulachon Thaleichthys pacificus from Northern California to Alaska using single nucleotide polymorphisms from direct amplicon sequencing. Canadian Journal of Fisheries and Aquatic Sciences, https://doi.org/10.1139/cjfas-2020-0200."
pink	microsat	" Terry D. Beacham, Brenda McIntosh, Cathy MacConnachie, Brian Spilsted, Bruce A. White (2012). Population structure of pink salmon (Oncorhynchus gorbuscha) in British Columbia and Washington, determined with microsatellites.Fishery Bulletin, 110(2), pp. 242-256.  http://aquaticcommons.org/id/eprint/8683"
sockeye	microsat	" Terry D. Beacham, Brenda McIntosh, Cathy MacConnachie, Kristi M. Miller, Ruth E. Withler, Natalia Varnavskaya (2005). Pacific Rim Population Structure of Sockeye Salmon as Determined from Microsatellite Analysis.Transactions of the American Fisheries Societey, 135: 174-187. https://doi.org/10.1577/T05-149.1"
sockeye	SNP	"Pre-production baseline, actively building, not for regular use. "
steelhead	microsat	"For Coastwide Baseline: Terry D. Beacham, Khai D. Le and John R. Candy (2004). Population structure and stock identification of steelhead trout (Oncorhynchus mykiss) in British Columbia and the Columbia River based on microsatellite variation. Environmental Biology of Fishes, 69: 95-109. https://doi.org/10.1080/02755947.2012.675953."
steelhead	microsat	"For Skeena-specific Baseline: Terry D. Beacham, Colin G. Wallace, Khai D. Le, Mark Beere (2012). Population Structure and Run Timing of Steelhead in the Skeena River, British Columbia.  North American Journal of Fisheries Management, 32: 262-275. https://doi.org/10.1080/02755947.2012.675953"
